route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
79,1,79,SCARLETT RD,,3,,ed1c24,ffffff
8,1,8,BROADVIEW,,3,,ed1c24,ffffff
80,1,80,QUEENSWAY,,3,,ed1c24,ffffff
82,1,82,ROSEDALE,,3,,ed1c24,ffffff
83,1,83,JONES,,3,,ed1c24,ffffff
84,1,84,SHEPPARD WEST,,3,,ed1c24,ffffff
85,1,85,SHEPPARD EAST,,3,,ed1c24,ffffff
86,1,86,SCARBOROUGH,,3,,ed1c24,ffffff
87,1,87,COSBURN,,3,,ed1c24,ffffff
88,1,88,SOUTH LEASIDE,,3,,ed1c24,ffffff
882,1,882,OPERATOR SHUTTLES,,0,,808000,ffffff
89,1,89,WESTON,,3,,ed1c24,ffffff
9,1,9,BELLAMY,,3,,ed1c24,ffffff
90,1,90,VAUGHAN,,3,,ed1c24,ffffff
900,1,900,AIRPORT EXPRESS,,3,,00a651,ffffff
902,1,902,MARKHAM RD EXPRESS,,3,,00a651,ffffff
903,1,903,KENNEDY STN-SCARBOROUGH EXPRESS,,3,,00a651,ffffff
904,1,904,SHEPPARD-KENNEDY EXPRESS,,3,,00a651,ffffff
905,1,905,EGLINTON EAST EXPRESS,,3,,00a651,ffffff
91,1,91,WOODBINE,,3,,ed1c24,ffffff
92,1,92,WOODBINE SOUTH,,3,,ed1c24,ffffff
924,1,924,VICTORIA PARK EXPRESS,,3,,00a651,ffffff
925,1,925,DON MILLS EXPRESS,,3,,00a651,ffffff
927,1,927,HIGHWAY 27 EXPRESS,,3,,00a651,ffffff
929,1,929,DUFFERIN EXPRESS,,3,,00a651,ffffff
93,1,93,PARKVIEW HILLS,,3,,ed1c24,ffffff
935,1,935,JANE EXPRESS,,3,,00a651,ffffff
937,1,937,ISLINGTON EXPRESS,,3,,00a651,ffffff
938,1,938,HIGHLAND CREEK EXPRESS,,3,,00a651,ffffff
939,1,939,FINCH EXPRESS,,3,,00a651,ffffff
94,1,94,WELLESLEY,,3,,ed1c24,ffffff
941,1,941,KEELE EXPRESS,,3,,00a651,ffffff
944,1,944,KIPLING SOUTH EXPRESS,,3,,00a651,ffffff
945,1,945,KIPLING EXPRESS,,3,,00a651,ffffff
95,1,95,YORK MILLS,,3,,ed1c24,ffffff
952,1,952,LAWRENCE WEST EXPRESS,,3,,00a651,ffffff
953,1,953,STEELES EAST EXPRESS,,3,,00a651,ffffff
954,1,954,LAWRENCE EAST EXPRESS,,3,,00a651,ffffff
96,1,96,WILSON,,3,,ed1c24,ffffff
960,1,960,STEELES WEST EXPRESS,,3,,00a651,ffffff
968,1,968,WARDEN EXPRESS,,3,,00a651,ffffff
97,1,97,YONGE,,3,,ed1c24,ffffff
98,1,98,WILLOWDALE-SENLAC,,3,,ed1c24,ffffff
984,1,984,SHEPPARD WEST EXPRESS,,3,,00a651,ffffff
985,1,985,SHEPPARD EAST EXPRESS,,3,,00a651,ffffff
986,1,986,SCARBOROUGH EXPRESS,,3,,00a651,ffffff
989,1,989,WESTON EXPRESS,,3,,00a651,ffffff
99,1,99,ARROW RD,,3,,ed1c24,ffffff
995,1,995,YORK MILLS EXPRESS,,3,,00a651,ffffff
996,1,996,WILSON EXPRESS,,3,,00a651,ffffff
