stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
90,1879,"84 Davisville Ave - Salvation Army",,43.699124,-79.393026,,,,,,1
91,7184,"Sheppard Ave East at Greenbriar Rd",,43.768237,-79.380480,,,,,,1
92,341,"Bellamy Rd North at Banmoor Blvd North Side",,43.751960,-79.233248,,,,,,1
93,9595,"McLevin Ave at Greenspire Rd",,43.803144,-79.232276,,,,,,1
94,7468,"York Mills Rd at Harrison Rd",,43.749600,-79.378889,,,,,,1
95,10538,"Warden Ave at Denison St North Side",,43.827920,-79.326516,,,,,,1
96,5405,"Lawrence Ave West at Scarlett Rd",,43.698042,-79.523367,,,,,,2
98,7173,"Sheppard Ave East at Conlins Rd East Side",,43.804250,-79.189258,,,,,,1
99,7034,"Royal York Rd at Trehorne Dr",,43.690289,-79.529987,,,,,,1
100,67,"Avenue Rd at Lonsdale Rd South Side",,43.690299,-79.403055,,,,,,1
101,1355,"601 Milner Ave",,43.793966,-79.223153,,,,,,1
103,4720,"Wynford Dr at Don Mills Rd East Side",,43.723099,-79.338338,,,,,,2
104,6175,"Weston Rd at Fern Ave South Side",,43.702116,-79.523302,,,,,,1
105,6131,"St Clair Ave East at Victoria Park Ave West Side",,43.708945,-79.296378,,,,,,1
106,7063,"Runnymede Rd at Maher Ave South Side",,43.662007,-79.480732,,,,,,1
107,1495,"Rathburn Rd at Pheasant Lane",,43.661570,-79.535378,,,,,,1
108,10840,"McNicoll Ave at Markham Rd",,43.823774,-79.248240,,,,,,1
110,242,"Bay St at Dundas St West",,43.655825,-79.383879,,,,,,1
111,991,"Dundas St West at Sterling Rd",,43.650631,-79.443251,,,,,,2
112,4888,"Church St at Weston Rd",,43.703403,-79.524942,,,,,,1
114,6988,"Royal York Rd at Darlingbrook Cres South Side",,43.670934,-79.521782,,,,,,2
115,9206,"Heathrow Dr at Chesham Dr",,43.726714,-79.505012,,,,,,1
116,3708,"Horner Ave at Alderbrae Ave",,43.602828,-79.540636,,,,,,1
117,3118,"St Clair Ave East at Glen Eden Cres",,43.706846,-79.305951,,,,,,1
119,4218,"Kingston Rd at Eastwood Ave",,43.690304,-79.267035,,,,,,1
120,14324,"Markham Rd at Edward Jeffreys Ave",,43.896321,-79.264930,,,,,,2
121,1237,"Leslie St at Commissioners St North Side",,43.656950,-79.326541,,,,,,1
122,636,"Brimley Rd at Larkhall Ave North Side",,43.751108,-79.254250,,,,,,1
123,10143,"Brimley Rd at Progress Ave",,43.775111,-79.262909,,,,,,1
125,3124,"St Regis Cres at St Regis Cres North West Side",,43.755144,-79.486134,,,,,,1
126,3401,"Canarctic Dr at Keele St",,43.775507,-79.493063,,,,,,1
127,9365,"McCowan Rd at McNicoll Ave",,43.818132,-79.272206,,,,,,1
128,4128,"Kennedy Rd at Village Green Sq",,43.777387,-79.285860,,,,,,1
